#separator:tab
#html:true
#columns:Front	Back	Tags
Capitalisation composée : valeur acquise de C après n périodes au taux i ?	C(1+i)^n.	CEA_ISUP Finance capitalisation
Actualisation : valeur actuelle de V_n reçu dans n périodes ?	V_n/(1+i)^n.	CEA_ISUP Finance actualisation
Valeur acquise de n versements A en fin de période ?	A[(1+i)^n−1]/i.	CEA_ISUP Finance annuites
Valeur acquise de n versements A en début de période ?	A(1+i)[(1+i)^n−1]/i.	CEA_ISUP Finance annuites
Valeur actuelle de n annuités A en fin de période ?	A[1−(1+i)^−n]/i.	CEA_ISUP Finance annuites
Valeur actuelle de n annuités A en début de période ?	A(1+i)[1−(1+i)^−n]/i.	CEA_ISUP Finance annuites
Annuité constante d'un emprunt P amorti en fin de période ?	A = Pi/[1−(1+i)^−n].	CEA_ISUP Finance credit
Début vs fin de période : relation entre deux annuités de même durée et même valeur actuelle ?	A_début = A_fin/(1+i).	CEA_ISUP Finance annuites
Différé d'amortissement : que paie-t-on pendant le différé ?	Les intérêts ; le capital reste inchangé.	CEA_ISUP Finance credit
Différé total : que se passe-t-il pendant le différé ?	Aucun paiement ; les intérêts sont capitalisés et le capital augmente.	CEA_ISUP Finance credit
Crédit in fine : structure des paiements ?	Intérêts périodiques sur tout le nominal puis remboursement du nominal à l'échéance.	CEA_ISUP Finance credit
Amortissement constant : quel montant est constant ?	La part de capital amortie à chaque période, pas l'annuité totale.	CEA_ISUP Finance credit
Crédit in fine P, taux i, n ans : coût total des intérêts ?	P × i × n, si intérêts annuels simples sur le nominal inchangé.	CEA_ISUP Finance credit
Amortissement constant P sur n ans : amortissement annuel ?	P/n.	CEA_ISUP Finance credit
Prix d'une obligation : principe ?	Somme actualisée des coupons et du remboursement du nominal.	CEA_ISUP Finance obligation
Duration de Macaulay : interprétation ?	Moyenne pondérée des dates des flux, poids = valeur actuelle du flux / prix.	CEA_ISUP Finance obligation
Sensibilité/duration modifiée : approximation de variation relative du prix ?	ΔP/P ≈ −D_mod × Δy.	CEA_ISUP Finance obligation
Si le rendement d'une obligation augmente, son prix fait quoi ?	Il baisse.	CEA_ISUP Finance obligation
Forward sans dividende : prix à terme F_0,T ?	F_0,T = S_0 / B(0,T), donc S_0(1+r)^T si taux annuel constant.	CEA_ISUP Finance forward
